airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week
LOT,LO644 / LO655,Bucharest Henri Coandă International Airport,Romania,2026-06-12T05:35,1,2026-06-12T13:45,Oradea International Airport,Romania,economy,484,42,3h 10m,OTP,OMR,2026-05-01T21:29:21+0300,morning,afternoon,friday,friday
Air Serbia,JU107 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-06-08T04:30,1,2026-06-08T15:30,Sofia International Airport,Bulgaria,economy,145,38,2h 45m,OTP,SOF,2026-05-01T21:29:22+0300,night,afternoon,monday,monday
Air Serbia,JU103 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-06-08T16:05,1,2026-06-09T15:30,Sofia International Airport,Bulgaria,economy,145,38,2h 30m,OTP,SOF,2026-05-01T21:29:22+0300,afternoon,afternoon,monday,tuesday
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-06-08T18:55,1,2026-06-08T23:55,Sofia International Airport,Bulgaria,economy,188,38,3h 10m,OTP,SOF,2026-05-01T21:29:22+0300,evening,night,monday,monday
Austrian,OS700 / OS771,Bucharest Henri Coandă International Airport,Romania,2026-06-08T06:35,1,2026-06-08T11:40,Sofia International Airport,Bulgaria,economy,269,38,3h 10m,OTP,SOF,2026-05-01T21:29:22+0300,morning,morning,monday,monday
LOT,LO380 / LO645,Frankfurt Airport,Germany,2026-06-04T20:00,1,2026-06-05T17:45,Bucharest Henri Coandă International Airport,Romania,economy,184,34,3h 40m,FRA,OTP,2026-05-01T21:29:25+0300,evening,evening,thursday,friday
Lufthansa,LH1422,Frankfurt Airport,Germany,2026-06-04T20:30,0,2026-06-04T23:50,Bucharest Henri Coandă International Airport,Romania,economy,307,34,2h 20m,FRA,OTP,2026-05-01T21:29:25+0300,evening,night,thursday,thursday
Lufthansa,LH1416,Frankfurt Airport,Germany,2026-06-04T13:00,0,2026-06-04T16:20,Bucharest Henri Coandă International Airport,Romania,economy,328,34,2h 20m,FRA,OTP,2026-05-01T21:29:25+0300,afternoon,afternoon,thursday,thursday
Austrian,OS218 / OS693,Frankfurt Airport,Germany,2026-06-04T06:40,1,2026-06-04T12:25,Bucharest Henri Coandă International Airport,Romania,economy,391,34,3h 00m,FRA,OTP,2026-05-01T21:29:25+0300,morning,afternoon,thursday,thursday
Austrian,OS210 / OS697,Frankfurt Airport,Germany,2026-06-04T13:40,1,2026-06-04T18:05,Bucharest Henri Coandă International Airport,Romania,economy,391,34,3h 00m,FRA,OTP,2026-05-01T21:29:25+0300,afternoon,evening,thursday,thursday
Turkish Airlines,TK1046 / TK1013,Bucharest Henri Coandă International Airport,Romania,2026-06-01T21:35,1,2026-06-02T09:25,Timișoara International Airport,Romania,economy,167,31,3h 15m,OTP,TSR,2026-05-01T21:29:29+0300,night,morning,monday,tuesday
Turkish Airlines,TK1046 / TK1347,Bucharest Henri Coandă International Airport,Romania,2026-05-18T21:35,1,2026-05-19T20:15,"Cluj ""Avram Iancu"" International Airport",Romania,economy,281,17,3h 05m,OTP,CLJ,2026-05-01T21:29:40+0300,night,evening,monday,tuesday
Lufthansa,LH1651 / LH1670,Bucharest Henri Coandă International Airport,Romania,2026-05-18T12:45,1,2026-05-18T17:25,"Cluj ""Avram Iancu"" International Airport",Romania,economy,509,17,3h 50m,OTP,CLJ,2026-05-01T21:29:40+0300,afternoon,evening,monday,monday
LOT,LO642 / LO431,Bucharest Henri Coandă International Airport,Romania,2026-06-13T14:35,1,2026-06-13T23:35,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,196,43,5h 45m,OTP,MAD,2026-05-01T21:29:42+0300,afternoon,night,saturday,saturday
Turkish Airlines,TK1044 / TK1859,Bucharest Henri Coandă International Airport,Romania,2026-06-13T09:30,1,2026-06-13T16:55,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,208,43,6h 05m,OTP,MAD,2026-05-01T21:29:42+0300,morning,afternoon,saturday,saturday
Turkish Airlines,TK1040 / TK1359,Bucharest Henri Coandă International Airport,Romania,2026-06-13T15:55,1,2026-06-13T22:35,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,208,43,6h 10m,OTP,MAD,2026-05-01T21:29:42+0300,afternoon,night,saturday,saturday
LOT,LO644 / LO433,Bucharest Henri Coandă International Airport,Romania,2026-06-13T05:35,1,2026-06-13T14:35,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,225,43,5h 40m,OTP,MAD,2026-05-01T21:29:42+0300,morning,afternoon,saturday,saturday
KLM,KL1374 / KL1507,Bucharest Henri Coandă International Airport,Romania,2026-06-13T14:00,1,2026-06-13T19:35,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,248,43,5h 30m,OTP,MAD,2026-05-01T21:29:42+0300,afternoon,evening,saturday,saturday
LOT,LO640 / LO433,Bucharest Henri Coandă International Airport,Romania,2026-06-13T08:20,1,2026-06-13T14:35,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,301,43,5h 45m,OTP,MAD,2026-05-01T21:29:42+0300,morning,afternoon,saturday,saturday
Austrian,OS704 / OS517,Iași Airport,Romania,2026-05-13T16:00,1,2026-05-13T18:25,Bologna Guglielmo Marconi Airport,Italy,economy,783,12,2h 50m,IAS,BLQ,2026-05-01T21:29:43+0300,afternoon,evening,wednesday,wednesday
TAROM,RO702 / RO403,Iași Airport,Romania,2026-06-30T09:15,1,2026-07-01T12:00,Leonardo da Vinci International Airport,Italy,economy,184,60,3h 20m,IAS,FCO,2026-05-01T21:29:44+0300,morning,afternoon,tuesday,wednesday
TAROM,RO708 / RO403,Iași Airport,Romania,2026-06-30T19:55,1,2026-07-01T12:00,Leonardo da Vinci International Airport,Italy,economy,196,60,3h 20m,IAS,FCO,2026-05-01T21:29:44+0300,evening,afternoon,tuesday,wednesday
SWISS,LX1889 / LX1482,Bucharest Henri Coandă International Airport,Romania,2026-05-28T16:10,1,2026-05-28T23:15,Václav Havel Airport Prague,Czech Republic,economy,178,27,3h 45m,OTP,PRG,2026-05-01T21:29:45+0300,afternoon,night,thursday,thursday
KLM,KL1376 / KL1361,Bucharest Henri Coandă International Airport,Romania,2026-05-28T18:10,1,2026-05-28T22:35,Václav Havel Airport Prague,Czech Republic,economy,189,27,4h 15m,OTP,PRG,2026-05-01T21:29:45+0300,evening,night,thursday,thursday
LOT,LO640 / LO527,Bucharest Henri Coandă International Airport,Romania,2026-05-28T08:20,1,2026-05-28T12:05,Václav Havel Airport Prague,Czech Republic,economy,208,27,3h 05m,OTP,PRG,2026-05-01T21:29:45+0300,morning,afternoon,thursday,thursday
