airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week,duration_minutes,route,country_pair,is_nonstop
LOT,LO644 / LO655,Bucharest Henri Coandă International Airport,Romania,2026-06-12 05:35:00,1,2026-06-12 13:45:00,Oradea International Airport,Romania,economy,484,42,3h 10m,OTP,OMR,2026-05-01 21:29:21+03:00,morning,afternoon,friday,friday,190,OTP -> OMR,Romania -> Romania,False
Air Serbia,JU107 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-06-08 04:30:00,1,2026-06-08 15:30:00,Sofia International Airport,Bulgaria,economy,145,38,2h 45m,OTP,SOF,2026-05-01 21:29:22+03:00,night,afternoon,monday,monday,165,OTP -> SOF,Romania -> Bulgaria,False
Air Serbia,JU103 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-06-08 16:05:00,1,2026-06-09 15:30:00,Sofia International Airport,Bulgaria,economy,145,38,2h 30m,OTP,SOF,2026-05-01 21:29:22+03:00,afternoon,afternoon,monday,tuesday,150,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-06-08 18:55:00,1,2026-06-08 23:55:00,Sofia International Airport,Bulgaria,economy,188,38,3h 10m,OTP,SOF,2026-05-01 21:29:22+03:00,evening,night,monday,monday,190,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS700 / OS771,Bucharest Henri Coandă International Airport,Romania,2026-06-08 06:35:00,1,2026-06-08 11:40:00,Sofia International Airport,Bulgaria,economy,269,38,3h 10m,OTP,SOF,2026-05-01 21:29:22+03:00,morning,morning,monday,monday,190,OTP -> SOF,Romania -> Bulgaria,False
LOT,LO380 / LO645,Frankfurt Airport,Germany,2026-06-04 20:00:00,1,2026-06-05 17:45:00,Bucharest Henri Coandă International Airport,Romania,economy,184,34,3h 40m,FRA,OTP,2026-05-01 21:29:25+03:00,evening,evening,thursday,friday,220,FRA -> OTP,Germany -> Romania,False
Lufthansa,LH1422,Frankfurt Airport,Germany,2026-06-04 20:30:00,0,2026-06-04 23:50:00,Bucharest Henri Coandă International Airport,Romania,economy,307,34,2h 20m,FRA,OTP,2026-05-01 21:29:25+03:00,evening,night,thursday,thursday,140,FRA -> OTP,Germany -> Romania,True
Lufthansa,LH1416,Frankfurt Airport,Germany,2026-06-04 13:00:00,0,2026-06-04 16:20:00,Bucharest Henri Coandă International Airport,Romania,economy,328,34,2h 20m,FRA,OTP,2026-05-01 21:29:25+03:00,afternoon,afternoon,thursday,thursday,140,FRA -> OTP,Germany -> Romania,True
Austrian,OS218 / OS693,Frankfurt Airport,Germany,2026-06-04 06:40:00,1,2026-06-04 12:25:00,Bucharest Henri Coandă International Airport,Romania,economy,391,34,3h 00m,FRA,OTP,2026-05-01 21:29:25+03:00,morning,afternoon,thursday,thursday,180,FRA -> OTP,Germany -> Romania,False
Austrian,OS210 / OS697,Frankfurt Airport,Germany,2026-06-04 13:40:00,1,2026-06-04 18:05:00,Bucharest Henri Coandă International Airport,Romania,economy,391,34,3h 00m,FRA,OTP,2026-05-01 21:29:25+03:00,afternoon,evening,thursday,thursday,180,FRA -> OTP,Germany -> Romania,False
